zh_TW,zh-CN,en-EN,th-TH,泰文字數,建議字數,jp-JP,日文字數,建議字數,kr-KR,韓文字數,建議字數,vn-VN,越文字數,建議字數,jsonKey
將會需要 1-5 個工作天，確認驗證完畢，您就可以入金，享受交易了,将会需要 1-5 个工作天，确认验证完毕，您就可以入金，享受交易了,"It will need 1-5 working days. After confirming the verification, you can enter the gold and enjoy the transaction",จะต้องใช้ 1-5 วันทำการ หลังจากยืนยันการตรวจสอบแล้วคุณสามารถป้อนทองคำและเพลิดเพลินกับการทำธุรกรรม,96,114,1〜5営業日が必要になります。検証を確認した後、ゴールドに入って取引を楽しむことができます,45,33,1-5 일이 필요합니다. 검증 확인 후 금에 들어가서 거래를 즐길 수 있습니다.,44,33,"Nó sẽ cần 1-5 ngày làm việc. Sau khi xác nhận xác minh, bạn có thể nhập vàng và tận hưởng giao dịch",99,114,identifyVerificationResult.content
回首頁,回首页,Back to the homepage,กลับไปที่หน้าแรก,16,20,ホームページに戻ります,11,3,홈페이지로 돌아갑니다,11,3,Quay lại trang chủ,18,20,identifyVerificationResult.backToHome
語言,,,,,,,,,,,,,,,"languageSetting.appBarTitle,setting.languageTitle"
系統,,,,,,,,,,,,,,,"languageSetting.localeDefault,setting.languageDefault"
繁體中文,,,,,,,,,,,,,,,languageSetting.localeZhTw
簡體中文,,,,,,,,,,,,,,,languageSetting.localeZhCn
中文,,,,,,,,,,,,,,,languageSetting.localeZh
English,,,,,,,,,,,,,,,languageSetting.localeEn
會員中心,,,,,,,,,,,,,,,memberCenter.appBarTitle
通知,通知,Notification,การแจ้ง,7,12,知らせ,3,2,알아채다,4,2,Thông báo,9,12,memberCenter.messageNotify
成就 & 階級,,,,,,,,,,,,,,,"memberCenter.achievement,achievementsLevel.appBarTitle"
獎勵,,,,,,,,,,,,,,,"memberCenter.award,award.appBarTitle,awardList.bonus"
分享推薦碼,分享推荐码,Share recommendation code,แบ่งปันรหัสคำแนะนำ,18,25,推奨コードを共有します,11,5,공유 추천 코드,8,5,Chia sẻ mã khuyến nghị,22,25,"memberCenter.shareReferralCode,referralCodeShare.appBarTitle"
身份認證,身份认证,Identity Verifiction,การตรวจสอบตัวตน,15,20,認証,2,4,입증,2,4,Nhận dạng xác minh,18,20,memberCenter.identifyVerification
設定,,,,,,,,,,,,,,,"memberCenter.setting,setting.appBarTitle"
合約屬性,,,,,,,,,,,,,,,memberCenter.contractProperties
聲明和協議,,,,,,,,,,,,,,,memberCenter.statementAndAgreement
帳戶設定,,,,,,,,,,,,,,,memberCenter.accountSetting
已複製推薦碼,已复制推荐码,Recommended code for copying,รหัสที่แนะนำสำหรับการคัดลอก,27,28,コピーするための推奨コード,13,6,복사를위한 권장 코드,11,6,Mã được đề xuất để sao chép,27,28,memberCenter.copyReferralCodeToast
我的推薦碼,我的推荐码,My recommendation code,รหัสคำแนะนำของฉัน,17,22,私の推奨コード,7,5,내 추천 코드,7,5,Mã khuyến nghị của tôi,22,22,"memberCenter.myReferralCode,referralCodeShare.myReferralCode"
用戶服務,用户服务,User service,บริการผู้ใช้,12,12,ユーザーサービス,8,4,사용자 서비스,7,4,Dịch vụ người dùng,18,12,memberCenter.userService
代理服務,代理服务,Proxy service,บริการพร็อกซี,13,13,プロキシサービス,8,4,프록시 서비스,7,4,Dịch vụ proxy,13,13,memberCenter.agentService
切換回用戶模式,切换回用户模式,Switch back to the user mode,สลับกลับไปที่โหมดผู้ใช้,23,28,ユーザーモードに戻ります,12,7,사용자 모드로 다시 전환하십시오,17,7,Chuyển trở lại chế độ người dùng,32,28,memberCenter.backToUserService
切換至代理模式,,,,,,,,,,,,,,,memberCenter.toAgentService
代理審核中,,,,,,,,,,,,,,,memberCenter.agentStatusAudit
請先驗證真實帳戶,,,,,,,,,,,,,,,memberCenter.verificationRealAccountFirst
等待真實帳戶審核中,,,,,,,,,,,,,,,memberCenter.waitVerificationRealAccount
鑽石階級,,,,,,,,,,,,,,,memberCenter.levelDiamond
  (已讀)  ,,,,,,,,,,,,,,,messageNotify.haveRead
取消掛單成功,,,,,,,,,,,,,,,orderDetail.cancelOrderSuccess
"委託異動, 請重新進入",,,,,,,,,,,,,,,orderDetail.orderChanged
撤銷,撤销,Revoke,ถอน,3,6,取り消す,4,2,취소,2,2,Thu hồi,7,6,"orderDetail.cancelButton,orders.cancelButton"
修改,修改,Revise,แก้ไขใหม่,9,6,改訂,2,2,개정하다,4,2,Ôn lại,6,6,"orderDetail.modifyButton,positionDetail.modifyButton"
掛單價格,挂单价格,Hanging order price,ราคาคำสั่งซื้อแขวน,18,19,ハンギングオーダー価格,11,4,교수형 주문 가격,9,4,Giá đặt hàng,12,19,"orderDetail.orderPriceTitle,agentFundingPositionsDetail.hangingPriceTitle"
訂單號,订单号,order number,หมายเลขสั่งซื้อ,15,12,注文番号,4,3,주문 번호,5,3,Số đặt hàng,11,12,"orderDetail.transactionSerial,orders.transactionSerialTitle,positionDetail.transactionSerial,positions.transactionSerial,transactionHistory.transactionSerial,transactionHistoryDetail.transactionSerial"
未設置,未设置,Not set,ไม่ได้ตั้งค่า,13,7,設定されていません,9,3,설정되지 않았습니다,10,3,Không được thiết lập,20,7,"orderDetail.stopProfitLossEmpty,orderDetail.trailingStopEmpty,positionDetail.stopProfitLossEmpty,positionDetail.trailingStopEmpty,transactionHistoryDetail.stopProfitLossEmpty,transactionHistoryDetail.trailingStopEmpty,numberInputField.defaultHint"
數量,数量,quantity,ปริมาณ,6,8,量,1,2,수량,2,2,số lượng,8,8,"orderDetail.lotsTitle,positionDetail.tableLotsTitle"
當前價值,当前价值,Current value,มูลค่าปัจจุบัน,14,13,現在の価値,5,4,현재 가치,5,4,Giá trị hiện tại,16,13,"orderDetail.currentValueTitle,positionDetail.currentPositionValue"
掛單修改,,,,,,,,,,,,,,,orderModify.appBarTitle
設置止損價格,,,,,,,,,,,,,,,"orderModify.stopLossSubtitle,positionModify.stopLossSubtitle"
設置止盈價格,设置止盈价格,Set up profit price,ตั้งราคากำไร,12,19,利益価格を設定します,10,6,이익 가격을 설정하십시오,13,6,Thiết lập giá lợi nhuận,23,19,"orderModify.stopProfitSubtitle,positionModify.stopProfitSubtitle"
設置追蹤止損距離,设置追踪止损距离,Set tracking stop loss distance,ตั้งค่าการติดตามการหยุดการสูญเสียระยะทาง,40,31,追跡停止損失距離を設定します,14,8,추적 중지 손실 거리를 설정합니다,18,8,Đặt khoảng cách dừng theo dõi,29,31,"orderModify.trailingStopSubtitle,positionModify.trailingStopSubtitle"
尚無掛單,,,,,,,,,,,,,,,"orders.emptyTip,positions.emptyTip"
開始交易,,,,,,,,,,,,,,,"orders.emptyButton,positions.emptyButton"
最新價,,,,,,,,,,,,,,,"orders.lastPriceTitle,positions.lastPrice"
確定撤單?,,,,,,,,,,,,,,,orders.cancelConfirm
獲取交易帳戶中,,,,,,,,,,,,,,,paymentBank.gettingTransferAccount
PAY,,,,,,,,,,,,,,,paymentBank.payTag
請輸入金額,请输入金额,Please enter the amount,กรุณากรอกจำนวนเงิน,18,23,金額を入力してください,11,5,금액을 입력하십시오,10,5,Vui lòng nhập số tiền,21,23,paymentBank.paymentPriceTitle
立即入金享受交易,立即入金享受交易,Enjoy the transaction immediately,เพลิดเพลินกับการทำธุรกรรมทันที,30,33,すぐにトランザクションをお楽しみください,20,8,즉시 거래를 즐기십시오,12,8,Tận hưởng giao dịch ngay lập tức,32,33,"paymentBank.confirmPaymentButton,paymentCreditCard.confirmValueGetUrlButton"
入金金額區間：{unit} {range},,,,,,,,,,,,,,,"paymentBank.paymentPriceRangeTip,withdraw.withdrawPriceRangeTip"
最低{value},,,,,,,,,,,,,,,paymentBank.paymentRangeOnlyMin
{min}-{max},,,,,,,,,,,,,,,paymentBank.paymentRangeMinMax
重要提醒,重要提醒,Important reminder,การเตือนความจำที่สำคัญ,22,18,重要なリマインダー,9,4,중요한 알림,6,4,Nhắc nhở quan trọng,19,18,paymentBank.remindTitle
"請使用本人的帳戶轉帳<1></1>
帳戶有效期限為 24 小時<3></3>
轉帳金額務必一致<4></4>
請勿重複轉帳","请使用本人的帐户转帐<1></1>
帐户有效期限为 24 小时<3></3>
转帐金额务必一致<4></4>
请勿重复转帐","Please use my account to transfer <1> </1>
Account validity period is 24 hours <3> </3>
The transfer amount must be consistent <4> </4>
Do not repeat the transfer","โปรดใช้บัญชีของฉันเพื่อโอน <1> </1>
ระยะเวลาที่ถูกต้องของบัญชีคือ 24 ชั่วโมง <3> </3>
จำนวนการถ่ายโอนจะต้องสอดคล้อง <4> </4>
อย่าทำซ้ำการถ่ายโอน",144,162,"私のアカウントを使用して<1> </1>を転送してください
アカウントの妥当性期間は24時間<3> </3>
転送量は一貫している必要があります<4> </4>
転送を繰り返さないでください",95,61,"내 계정을 사용하여 <1> </1>
계정 유효 기간은 24 시간 <3> </3>
전송 금액은 일관되어야합니다 <4> </4>
전송을 반복하지 마십시오",83,61,"Vui lòng sử dụng tài khoản của tôi để chuyển <1> </1>
Thời gian hợp lệ của tài khoản là 24 giờ <3> </3>
Số tiền chuyển phải nhất quán <4> </4>
Không lặp lại việc chuyển nhượng",175,162,paymentBank.remindTip
獲得轉帳資訊 去轉帳,获得转帐资讯 去转帐,Get transfer information to transfer,รับข้อมูลการโอนเพื่อถ่ายโอน,27,36,転送情報を取得します,10,10,전송 정보를 전송할 수 있습니다,17,10,Nhận thông tin chuyển nhượng để chuyển,38,36,paymentBank.toTransferButton
我已瞭解上述資訊,,,,,,,,,,,,,,,paymentBank.learnInfoReady
入金金額,金额存款,Amount deposit,เงินมัดจำจำนวนเงิน,18,14,入金金額,4,4,금액 예금,5,4,Tiền gửi,8,14,paymentBank.transferAccountTitle
請於,,,,,,,,,,,,,,,paymentBank.transferCompleteContent1
完成轉帳,完成转帐,Complete the transfer,กรอกการถ่ายโอน,14,21,転送を完了します,8,4,전송을 완료하십시오,10,4,Hoàn thành việc chuyển nhượng,29,21,paymentBank.transferCompleteContent2
收款銀行及代碼,收款银行及代码,Receive bank and code,รับธนาคารและรหัส,16,21,銀行とコードを受け取ります,13,7,은행과 코드를받습니다,11,7,Nhận ngân hàng và mã,20,21,paymentBank.transferBankAndCode
收款帳戶,收款帐户,Receipt account,บัญชีใบเสร็จรับเงิน,19,15,領収書アカウント,8,4,영수증 계정,6,4,Tài khoản biên lai,18,15,paymentBank.transferBankAccount
已完成轉帳,已完成转帐,Completed transfer,ถ่ายโอนเสร็จสมบูรณ์,19,18,完了した転送,6,5,완료된 전송,6,5,Hoàn thành chuyển nhượng,24,18,paymentBank.completeButton
"注意事項：<1></1>
轉帳金額與申請金額不一致，則無法轉帳成功。<3></3>
超過有效期限，則無法轉帳成功。<4></4>
請不要重複匯款。","注意事项：<1></1>
转帐金额与申请金额不一致，则无法转帐成功。 <3></3>
超过有效期限，则无法转帐成功。 <4></4>
请不要重复汇款。","Note: <1> </1>
The transfer amount is not the same as the application amount, but the transfer cannot be successful. <3> </3>
If the validity period is exceeded, the transfer cannot be successful. <4> </4>
Please do not repeat remittances.","หมายเหตุ: <1> </1>
จำนวนการถ่ายโอนไม่เหมือนกับจำนวนแอปพลิเคชัน แต่การโอนไม่สามารถทำได้ <3> </3>
หากเกินระยะเวลาความถูกต้องการถ่ายโอนจะไม่สำเร็จ <4> </4>
โปรดอย่าทำซ้ำการส่งเงิน",176,239,"注：<1> </1>
転送量はアプリケーション額と同じではありませんが、転送は成功することはできません。 <3> </3>
有効期間を超えた場合、転送は成功できません。 <4> </4>
送金を繰り返さないでください。",109,73,"참고 : <1> </1>
전송 금액은 신청 금액과 동일하지 않지만 전송은 성공할 수 없습니다. <3> </3>
유효 기간이 초과되면 전송이 성공할 수 없습니다. <4> </4>
송금을 반복하지 마십시오.",113,73,"Lưu ý: <1> </1>
Số tiền chuyển không giống với số tiền ứng dụng, nhưng việc chuyển không thể thành công. <3> </3>
Nếu vượt quá thời hạn hiệu lực, việc chuyển nhượng không thể thành công. <4> </4>
Vui lòng không lặp lại kiều hối.",228,239,paymentBank.transferDescriptionTip
"溫馨提示:如遇入金問題，
請第一時間聯繫",,,,,,,,,,,,,,,paymentBank.paymentValueTip1
在線客服,,,,,,,,,,,,,,,paymentBank.paymentValueTip2
"客服人員會協助您迅速入金。
服務宗旨:秉承「用戶至上」真誠「
用心為您服務」。",,,,,,,,,,,,,,,paymentBank.paymentValueTip3
信用卡刷卡,信用卡刷卡,Credit card swiping card,บัตรกวาดบัตรเครดิต,18,24,クレジットカードスワイプカード,15,5,신용 카드 스 와이프 카드,14,5,Thẻ quẹt thẻ tín dụng,21,24,paymentCreditCard.appBarTitle
提交資料中,,,,,,,,,,,,,,,paymentCreditCard.getUrlLoading
請輸入正確的日期,请输入正确的日期,Please enter the correct date,กรุณากรอกวันที่ที่ถูกต้อง,25,29,正しい日付を入力してください,14,8,올바른 날짜를 입력하십시오,14,8,Vui lòng nhập đúng ngày,23,29,"paymentCreditCard.errorMonthFormat,paymentCreditCard.errorYearFormat"
請輸入有效的銀行卡號,请输入有效的银行卡号,Please enter the valid bank card number,กรุณากรอกหมายเลขบัตรธนาคารที่ถูกต้อง,36,39,有効な銀行カード番号を入力してください,19,10,유효한 은행 카드 번호를 입력하십시오,20,10,Vui lòng nhập số thẻ ngân hàng hợp lệ,37,39,paymentCreditCard.errorCardNumberFormat
請輸入正確的安全碼,请输入正确的安全码,Please enter the correct security code,โปรดป้อนรหัสความปลอดภัยที่ถูกต้อง,33,38,正しいセキュリティコードを入力してください,21,9,올바른 보안 코드를 입력하십시오,17,9,Vui lòng nhập đúng mã bảo mật,29,38,paymentCreditCard.errorCardSecurityFormat
卡號,卡号,card number,หมายเลขบัตร,11,11,カード番号,5,2,카드 번호,5,2,số thẻ,6,11,paymentCreditCard.cardNumberTitle
有效日期,,,,,,,,,,,,,,,paymentCreditCard.validThruTitle
CVV 安全碼,,,,,,,,,,,,,,,paymentCreditCard.cardSecurityCodeTitle
持卡人姓名,持卡人姓名,Cardholder's Name,ชื่อผู้ถือบัตร,14,17,カード所有者の名前,9,5,카드 소지자의 이름,10,5,tên chủ thẻ,11,17,paymentCreditCard.cardOwnerTitle
MM,,,,,,,,,,,,,,,paymentCreditCard.monthHint
YY,,,,,,,,,,,,,,,paymentCreditCard.yearHint
請輸入信用卡號,,,,,,,,,,,,,,,paymentCreditCard.cardNumberHint
安全碼,,,,,,,,,,,,,,,paymentCreditCard.cardSecurityCodeHint
交易成功,,,,,,,,,,,,,,,paymentCreditCard.transactionCompleteTitle
刷卡金額,刷卡金额,Credit card amount,จำนวนบัตรเครดิต,15,18,クレジットカードの金額,11,4,신용 카드 금액,8,4,Số tiền thẻ tín dụng,20,18,paymentCreditCard.swipeCardValue
刷卡時間,刷卡时间,Swipe time,ปัดเวลา,7,10,スワイプ時間,6,4,스 와이프 시간,8,4,Thời gian vuốt,14,10,paymentCreditCard.swipeCardTime
匯率,汇率,exchange rate,อัตราแลกเปลี่ยน,15,13,為替レート,5,2,환율,2,2,tỷ giá,6,13,paymentCreditCard.exchangeRate
立刻前往交易,立刻前往交易,Go to the transaction immediately,ไปที่ธุรกรรมทันที,17,33,すぐにトランザクションに移動します,17,6,즉시 거래로 이동하십시오,13,6,Đi đến giao dịch ngay lập tức,29,33,paymentCreditCard.toMarketButton
出入金詳情,出入金详情,Deposit and withdrawal details,รายละเอียดเงินฝากและการถอน,26,30,詳細,2,5,세부,2,5,Tiền và chi tiết rút tiền,25,30,"paymentHistory.paymentDetail,agentPaymentDetail.depositWithdrawalDetailsTitle,agentUserPaymentHistory.depositWithdrawalDetailsTitle"
等待,,,,,,,,,,,,,,,paymentHistory.statusWait
完成,完成,Finish,เสร็จสิ้น,9,6,終了,2,2,마치다,3,2,Hoàn thành,10,6,paymentHistory.statusSuccess
失敗,,,,,,,,,,,,,,,paymentHistory.statusFail
入金,支付,payment,การชำระเงิน,11,7,入金,2,2,지불,2,2,sự chi trả,10,7,"paymentHistory.typePayment,agentUserPaymentHistoryList.deposit"
尚無出入金紀錄,,,,,,,,,,,,,,,paymentHistory.historyEmptyTip
獲取資料時發生錯誤,,,,,,,,,,,,,,,paymentHistory.historyErrorTip
日期,日期,date,วันที่,6,4,日にち,3,2,데이트,3,2,ngày tháng,10,4,"paymentHistory.dateTitle,withdrawBank.datePrefix,agentUserPaymentHistoryList.dateTitle,agentOverview.dateTitle,agentProfitSharing.dateTitle,agentUserProfitSharingForm.dateTitle"
入金成功,,,,,,,,,,,,,,,paymentHistory.applyStateSuccess
入金失敗,,,,,,,,,,,,,,,paymentHistory.applyStateFail
未支付,,,,,,,,,,,,,,,paymentHistory.applyStateWaitPay
訂單生成失敗,,,,,,,,,,,,,,,paymentHistory.applyStateCreateFail
入金總額,入金总额,Total amount of money,จำนวนเงินทั้งหมด,16,21,合計金額,4,4,총 금액,4,4,Tổng số tiền,12,21,"paymentHistory.paymentTotal,agentPaymentDetail.depositTotal,agentUserPaymentHistory.totalDeposit"
出金總額,,,,,,,,,,,,,,,"paymentHistory.withdrawTotal,agentUserPaymentHistory.totalWithdrawal"
信用卡線上刷卡,,,,,,,,,,,,,,,paymentMethod.creditTitle
提供每月5至10次的免費跨行轉帳,,,,,,,,,,,,,,,paymentMethod.bankDescription
天天刷享超高1.88%現金回饋,天天刷享超高1.88%现金回馈,Enjoy 1.88%cash feedback every day every day,เพลิดเพลินกับข้อเสนอแนะเงินสด 1.88%ทุกวันทุกวัน,47,44,毎日1.88％の現金フィードバックをお楽しみください,26,15,매일 매일 1.88%의 현금 피드백을 즐기십시오,26,15,"Tận hưởng phản hồi tiền mặt 1,88%mỗi ngày",41,44,paymentMethod.creditDescription
推薦入金方式,推荐的存款方法,Recommended deposit method,วิธีการฝากเงินที่แนะนำ,22,26,推薦入金方式,6,6,권장 예금 방법,8,6,Phương pháp tiền gửi được đề xuất,33,26,paymentMethod.recommendedMethod
其餘入金方式,,,,,,,,,,,,,,,paymentMethod.otherMethod
投資,投资,invest,ลงทุน,5,6,投資,2,2,투자하다,4,2,đầu tư,6,6,personalVerify.accountOpenReasonInvest
對沖,对冲,Hedge,รั้วล้อมรอบ,11,5,ヘッジ,3,2,방지책,3,2,Hàng rào,8,5,personalVerify.accountOpenReasonHedge
投機,投机,Speculation,การเก็งกำไร,11,11,投機,2,2,추측,2,2,Đầu cơ,6,11,personalVerify.accountOpenReasonSpeculation
在職中,,,,,,,,,,,,,,,personalVerify.employmentStatusEmployed
自營,自营,Self-service,บริการตนเอง,11,12,自営業,3,2,자영업자,4,2,Tự phục vụ,10,12,personalVerify.employmentStatusSelfEmployed
待業,待业,Work,งาน,3,4,世話をしてください,9,2,을 돌보다,5,2,Công việc,9,4,personalVerify.employmentStatusUnemployed
學生,学生,student,นักเรียน,8,7,学生,2,2,학생,2,2,sinh viên,9,7,personalVerify.employmentStatusStudent
退休,退休,retire,เกษียณอายุ,10,6,引退,2,2,은퇴하십시오,6,2,về hưu,6,6,personalVerify.employmentStatusRetire
"超過 USD200,000","超过 USD200,000","More than USD200,000","มากกว่า 2500,000 เหรียญสหรัฐ",28,20,"200,000米ドル以上",12,13,"USD200,000 이상",13,13,Hơn 200.000 USD,15,20,personalVerify.incomeRangeOver200k
"USD100,000 - 200,000","100,000美元 -  200,000","USD100,000 - 200,000","USD100,000 - 200,000",20,20,"USD100,000-200,000",18,20,"USD100,000- 200,000",19,20,100.000 - 200.000 USD,21,20,personalVerify.incomeRange100kTo200k
"USD50,000 - 100,000","美元50,000-100,000","USD50,000 - 100,000","USD50,000 - 100,000",19,19,"USD50,000-100,000",17,19,"USD50,000-100,000",17,19,50.000.000 - 100.000,20,19,personalVerify.incomeRange50kTo100k
"USD20,000 - 50,000","20,000美元 -  50,000","USD20,000 - 50,000","USD 20,000 - 50,000",19,18,"USD20,000-50,000",16,18,"USD20,000-50,000",16,18,20.000 - 50.000 USD,19,18,personalVerify.incomeRange20kTo50k
"USD20,000 以下","USD20,000 以下","USD20,000 or less","USD 20,000 หรือน้อยกว่า",23,17,"以下のUSD20,000",12,12,"아래 220,000",10,12,20.000 USD trở xuống,20,17,personalVerify.incomeRangeBelow20k
請先填入真實姓名,,,,,,,,,,,,,,,personalVerify.errorRealNameEmpty
請先填入英文姓名,,,,,,,,,,,,,,,personalVerify.errorEnglishNameEmpty
尚未選擇國家,,,,,,,,,,,,,,,personalVerify.errorCountryEmpty
尚未填入地址,,,,,,,,,,,,,,,personalVerify.errorAddressEmpty
尚未選擇職業別,,,,,,,,,,,,,,,personalVerify.errorProfessionEmpty
尚未選擇就業狀態,,,,,,,,,,,,,,,personalVerify.errorEmploymentStatusEmpty
尚未選擇交易經驗,,,,,,,,,,,,,,,personalVerify.errorTradingExperienceEmpty
尚未選擇開戶原因,,,,,,,,,,,,,,,personalVerify.errorAccountOpeningReasonEmpty
尚未選擇收入範圍,,,,,,,,,,,,,,,personalVerify.errorIncomeEmpty
尚未選擇總財產範圍,,,,,,,,,,,,,,,personalVerify.errorTotalPossessionsEmpty
尚未選擇收入與總財產範圍範圍,,,,,,,,,,,,,,,personalVerify.errorSourceIncomeEmpty
衛生保健,卫生保健,health care,ดูแลสุขภาพ,10,11,健康管理,4,4,보건 의료,5,4,chăm sóc sức khỏe,17,11,personalVerify.professionHealthCare
一般商業,一般商业,General business,ธุรกิจทั่วไป,12,16,一般事業,4,4,일반 사업,5,4,Kinh doanh tổng hợp,19,16,personalVerify.professionGeneralBusiness
軍人,军人,soldier,ทหาร,4,7,兵隊,2,2,군인,2,2,lính,4,7,personalVerify.professionSoldier
農牧業,农牧业,Agriculture,เกษตรกรรม,9,11,農業と動物飼育,7,3,농업과 축산,6,3,Nông nghiệp,11,11,personalVerify.professionAgricultureAndAnimalHusbandry
新聞廣告業,新闻广告业,News advertising industry,อุตสาหกรรมโฆษณาข่าว,19,25,ニュース広告業界,8,5,뉴스 광고 산업,8,5,Công nghiệp quảng cáo tin tức,29,25,personalVerify.professionNewsAndAdvertising
公共事業,公共事业,Public utilities,สาธารณูปโภค,11,16,公益事業,4,4,공공 시설,5,4,Tiện ích công cộng,18,16,personalVerify.professionPublicUtilities
治安人員,治安人员,Security personnel,เจ้าหน้าที่รักษาความปลอดภัย,27,18,公安担当者,5,4,공공 보안 요원,8,4,Nhân viên an ninh,17,18,personalVerify.professionSecurityOfficer
交通運輸業,交通运输业,Transportation industry,อุตสาหกรรมการขนส่ง,18,23,輸送業界,4,5,교통 산업,5,5,Ngành vận tải,13,23,personalVerify.professionTransportationIndustry
製造業,制造业,manufacturing,การผลิต,7,13,製造,2,3,조작,2,3,chế tạo,7,13,personalVerify.professionManufacturing
宗教團體,宗教团体,Religious group,กลุ่มศาสนา,10,15,宗教団体,4,4,종교 단체,5,4,Nhóm tôn giáo,13,15,personalVerify.professionReligiousGroup
資訊業,资讯业,Information,ข้อมูล,6,11,情報業界,4,3,정보 산업,5,3,Thông tin,9,11,personalVerify.professionInformationIndustry
木材森林業,木材森林业,Wood forest industry,อุตสาหกรรมป่าไม้,16,20,木製林,3,5,목재 임업,5,5,Ngành rừng gỗ,13,20,personalVerify.professionTimberForestry
文教機關,文教机关,Cultural and educational organ,อวัยวะทางวัฒนธรรมและการศึกษา,28,30,文化的および教育機関,10,4,문화 및 교육 기관,10,4,Cơ quan văn hóa và giáo dục,27,30,personalVerify.professionEducationalInstitute
建築工程業,建筑工程业,"Construction engineering 
industry","วิศวกรรมการก่อสร้าง
อุตสาหกรรม",30,34,建設工学業界,6,5,건설 공학 산업,8,5,"Kỹ thuật xây dựng
ngành công nghiệp",35,34,personalVerify.professionConstructionIndustry
家庭管理,家庭管理,Family management,การจัดการครอบครัว,17,17,家族管理,4,4,가족 관리,5,4,Quản lý gia đình,16,17,personalVerify.professionFamilyManagement
一般職業,一般职业,General occupation,อาชีพทั่วไป,11,18,一般的な職業,6,4,일반적인 직업,7,4,Nghề nghiệp chung,17,18,personalVerify.professionGeneralOccupation
礦業採石業,矿业采石业,Mining quarry industry,อุตสาหกรรมเหมืองเหมืองแร่,25,22,マイニングストーンコレクション業界,17,5,광업 석재 수집 산업,11,5,Công nghiệp khai thác mỏ khai thác,34,22,personalVerify.professionMiningAndQuarrying
餐旅業,餐旅业,Restaurant,ร้านอาหาร,9,10,ダイニング,5,3,식사,2,3,Nhà hàng,8,10,personalVerify.professionHospitalityIndustry
娛樂業,娱乐业,Entertainment industry,อุตสาหกรรมบันเทิง,17,22,エンターテインメント業界,12,3,연예 사업,5,3,Ngành công nghiệp giải trí,26,22,personalVerify.professionEntertainmentIndustry
服務業,服务业,Service industry,อุตสาหกรรมบริการ,16,16,サービス業界,6,3,서비스업,4,3,Công nghiệp dịch vụ,22,16,personalVerify.professionServiceIndustry
運動人員,运动人员,Sportsman,นักกีฬา,7,9,スポーツマン,6,4,운동가,3,4,Người chơi thể thao,19,9,personalVerify.professionAthlete
漁業,渔业,Fisheries,การประมง,8,9,漁業,2,2,어업,2,2,Thủy sản,8,9,personalVerify.professionFishery
儲蓄,储蓄,Savings,เงินออม,7,7,節約,2,2,저금,2,2,Tiết kiệm,9,7,personalVerify.incomeSourceDeposit
薪資收入,薪资收入,Salary income,รายได้เงินเดือน,15,13,給料,2,4,샐러리,3,4,Thu nhập lương,14,13,personalVerify.incomeSourcePay
租金,租金,rent,เช่า,4,4,家賃,2,2,임차료,3,2,thuê,4,4,personalVerify.incomeSourceRent
貸款,贷款,loan,เงินกู้,7,4,ローン,3,2,대출,2,2,khoản vay,9,4,personalVerify.incomeSourceLoan
退休金,退休金,pension,เงินบำนาญ,9,7,年金,2,3,연금,2,3,lương hưu,9,7,personalVerify.incomeSourcePension
遺產,遗产,heritage,มรดก,4,8,遺産,2,2,유산,2,2,di sản,6,8,personalVerify.incomeSourceHeritage
不足一年,不足一年,Less than one year,น้อยกว่าหนึ่งปี,15,18,1年未満,4,4,1 년 미만,6,4,Ít hơn một năm,14,18,personalVerify.tradingExperienceRangeBelow1y
一年以上兩年未滿,一年以上两年未满,During the year or two years,ในช่วงปีหรือสองปี,17,28,1年か2年以上ではありません,14,8,1 년 또는 2 년이 넘지 않습니다,19,8,Trong năm hoặc hai năm,22,28,personalVerify.tradingExperienceMore1yBelow2y
兩年以上四年未滿,两年以上四年未满,Two years or four years,สองปีหรือสี่ปี,14,23,2年3年以上にわたり、いっぱいではありませんでした,25,8,"2 년 2 년 이상 동안, 그것은 가득하지 않았습니다.",30,8,Hai năm hoặc bốn năm,20,23,personalVerify.tradingExperienceMore2yBelow4y
四年以上,四年以上,More than four years,มากกว่าสี่ปี,12,20,4年以上,4,4,4 년 이상,6,4,Hơn bốn năm,11,20,personalVerify.tradingExperienceMore4y
無經驗,,,,,,,,,,,,,,,personalVerify.tradingExperienceNo
步驟1 - 個人資料驗證 (1/4),,,,,,,,,,,,,,,personalVerify.stepHeaderTitle
共9題,,,,,,,,,,,,,,,personalVerify.stepHeaderSubtitle
"下一步, 文件驗證",,,,,,,,,,,,,,,personalVerify.nextStepButton
國家或地區,国家或地区,Country or region,ประเทศหรือภูมิภาค,17,17,国や地域,4,5,국가 혹은 지역,8,5,Quốc gia hoặc khu vực,21,17,personalVerify.addressDefault
請輸入信用卡或護照的英文名稱,,,,,,,,,,,,,,,personalVerify.englishNameHint
職業別,,,,,,,,,,,,,,,personalVerify.professionTitle
請選擇職業別,请选择职业别,Please select an occupation,กรุณาเลือกอาชีพ,15,27,キャリアを選んでください,12,6,경력을 선택하십시오,10,6,Vui lòng chọn một nghề nghiệp,29,27,personalVerify.professionDefault
